Angle Bartlett MVDR MUSIC
-90.0 -18.366362347089296 -2.944271985930192 -34.02068363077742
-89.81981981981981 -18.366362569738097 -2.944324599650944 -34.02059498494336
-89.63963963963964 -18.366365909452885 -2.9444824256637365 -34.02032886151304
-89.45945945945945 -18.36638038141463 -2.94474541804248 -34.019884703491336
-89.27927927927928 -18.366419343876082 -2.9451134986522827 -34.01926158518702
-89.09909909909909 -18.36650149769965 -2.945586554765529 -34.018458216175546
-88.91891891891892 -18.366650885932426 -2.9461644357309105 -34.01747294687017
-88.73873873873873 -18.36689689364068 -2.9468469487019746 -34.016303775724516
-88.55855855855856 -18.36727424828924 -2.947633853433863 -34.014948358096206
-88.37837837837837 -18.36782302101462 -2.9485248561591315 -34.01340401680735
-88.1981981981982 -18.36858862920458 -2.9495196025557395 -34.01166775444368
-88.01801801801801 -18.369621840860084 -2.950617669822966 -34.00973626743999
-87.83783783783784 -18.370978781280026 -2.951818557883641 -34.00760596200512
-87.65765765765765 -18.372720942673354 -2.953121679733934 -34.005272971944834
-87.47747747747748 -18.374915197368637 -2.954526350965254 -34.002733178445844
-87.29729729729729 -18.377633815357505 -2.9560317784860435 -33.99998223188852
-87.11711711711712 -18.380954486975792 -2.9576370484751506 -33.99701557575977
-86.93693693693693 -18.384960351596355 -2.9593411136021777 -33.99382847274087
-86.75675675675676 -18.389740033278844 -2.961142779554643 -33.99041603304752
-86.57657657657657 -18.39538768439711 -2.963040690916256 -33.98677324510144
-86.3963963963964 -18.402003038343175 -2.965033316445412 -33.98289500861392
-86.21621621621621 -18.40969147248981 -2.9671189338082025 -33.97877617016153
-86.03603603603604 -18.418564082682273 -2.96929561382558 -33.97441156133358
-85.85585585585585 -18.428737770623965 -2.971561204300045 -33.969796039528646
-85.67567567567568 -18.440335345623563 -2.973913313493127 -33.9649245314738
-85.49549549549549 -18.453485642281514 -2.9763492933311357 -33.959792079535546
-85.31531531531532 -18.468323655815027 -2.978866222423034 -33.95439389088453
-85.13513513513513 -18.484990696853366 -2.9814608889808754 -33.9487253895677
-84.95495495495496 -18.503634567680162 -2.9841297737399963 -33.94278227153093
-84.77477477477477 -18.524409762061715 -2.9868690329829137 -33.93656056262263
-84.5945945945946 -18.547477690976038 -2.989674481777953 -33.930056679592916
-84.41441441441441 -18.573006936754435 -2.992541577550418 -33.923267494085465
-84.23423423423424 -18.601173538364833 -2.995465404111088 -33.91619039959745
-84.05405405405405 -18.63216131080432 -2.9984406562736776 -33.9088233813589
-83.87387387387388 -18.66616220183395 -3.001461625199542 -33.90116508905453
-83.69369369369369 -18.70337668957784 -3.0045221846143306 -33.893214912279085
-83.51351351351352 -18.744014224827794 -3.007615778047581 -33.88497305858112
-83.33333333333333 -18.78829372223835 -3.0107354072519987 -33.876440633909255
-83.15315315315316 -18.836444104972372 -3.0138736219646005 -33.86761972522936
-82.97297297297297 -18.888704907752732 -3.0170225111767546 -33.858513485030514
-82.7927927927928 -18.945326943696962 -3.020173696084609 -33.84912621738109
-82.61261261261261 -19.006573040739784 -3.023318324894808 -33.83946346513524
-82.43243243243244 -19.0727188538798 -3.0264470696635652 -33.829532097821804
-82.25225225225225 -19.144053759894696 -3.0295501253490014 -33.81934039967489
-82.07207207207207 -19.220881841523795 -3.032617211257926 -33.808898157185936
-81.89189189189189 -19.303522968374516 -3.035637575068308 -33.79821674547206
-81.71171171171171 -19.392313981901353 -3.0385999996077144 -33.78730921266518
-81.53153153153153 -19.48760999163625 -3.04149281256584 -33.77619036143072
-81.35135135135135 -19.58978578927775 -3.0443038993157745 -33.76487682662508
-81.17117117117117 -19.69923738607875 -3.0470207190138074 -33.753387147997024
-80.990990990991 -19.81638367692017 -3.0496303241413107 -33.74174183673294
-80.8108108108108 -19.941668231116992 -3.0521193836442473 -33.729963434538355
-80.63063063063063 -20.075561204797832 -3.0544742098163766 -33.71807656384249
-80.45045045045045 -20.21856136179684 -3.0566807890608114 -33.70610796760933
-80.27027027027027 -20.371198178218066 -3.0587248166512837 -33.694086537141295
-80.09009009009009 -20.534033988467982 -3.060591735599345 -33.682043326172334
-79.90990990990991 -20.707666105165185 -3.062266779716052 -33.67001154947047
-79.72972972972973 -20.892728808381364 -3.063735020937315 -33.6580265641083
-79.54954954954955 -21.089895046040933 -3.064981420959672 -33.64612583151869
-79.36936936936937 -21.29987760958729 -3.0659908872088892 -33.63434885843645
-79.1891891891892 -21.52342943642015 -3.0667483331362506 -33.622737114839204
-79.009009009009 -21.76134252741827 -3.0672387428073087 -33.611333927048655
-78.82882882882883 -22.01444473117746 -3.067447239714638 -33.60018434424035
-78.64864864864865 -22.283593303135515 -3.0673591597097234 -33.58933497674239
-78.46846846846847 -22.569663649272616 -3.066960127909488 -33.57883380468536
-78.28828828828829 -22.87353094137799 -3.066236139389613 -33.5687299558014
-78.10810810810811 -23.196041246210353 -3.0651736434301475 -33.55907345146371
-77.92792792792793 -23.53796731016662 -3.063759631028156 -33.54991492041036
-77.74774774774775 -23.899942009766146 -3.0619817253377923 -33.54130528001059
-77.56756756756756 -24.282359511372754 -3.059828274639779 -33.533295385404905
-77.38738738738739 -24.68523019570512 -3.0572884473799844 -33.52593564738229
-77.2072072072072 -25.107970373434934 -3.05435232875064 -33.51927562044088
-77.02702702702703 -25.549102247547918 -3.051011018217827 -33.513363563107816
-76.84684684684684 -26.00583525953546 -3.047256727325455 -33.50824597325715
-76.66666666666667 -26.473501475255055 -3.0430828770295615 -33.50396710185099
-76.48648648648648 -26.944834857788624 -3.0384841937375113 -33.50056844922217
-76.30630630630631 -27.409135010861313 -3.033456803145749 -33.498088248698956
-76.12612612612612 -27.85146557473424 -3.027998320887833 -33.496560943025095
-75.94594594594595 -28.252224056511487 -3.0221079389223515 -33.49601665962999
