Angle Bartlett MVDR MUSIC
-90.0 -21.37402237739526 -24.01952719059867 -30.409896519563567
-89.81981981981981 -21.374560909117694 -24.019535517866537 -30.40989213061867
-89.63963963963964 -21.37618022007722 -24.01956049119416 -30.40987877499446
-89.45945945945945 -21.378891454919962 -24.01960208505916 -30.40985588670591
-89.27927927927928 -21.382713178892416 -24.019660256609782 -30.409822523728295
-89.09909909909909 -21.387671363873256 -24.019734945194273 -30.409777369940308
-88.91891891891892 -21.393799368363275 -24.019826071704205 -30.409718737879725
-88.73873873873873 -21.401137910964955 -24.01993353773401 -30.40964457234669
-88.55855855855856 -21.40973503672486 -24.020057224559764 -30.409552454899437
-88.37837837837837 -21.419646075535262 -24.020196991941045 -30.409439609296882
-88.1981981981982 -21.430933591593263 -24.020352676750733 -30.409302907951755
-88.01801801801801 -21.44366732268346 -24.02052409143856 -30.409138879466852
-87.83783783783784 -21.457924107786436 -24.020711022335526 -30.408943717335767
-87.65765765765765 -21.473787801197297 -24.02091322780757 -30.40871328989727
-87.47747747747748 -21.491349170977678 -24.021130436268535 -30.408443151640434
-87.29729729729729 -21.510705779122432 -24.021362344064052 -30.40812855596432
-87.11711711711712 -21.531961840311723 -24.02160861324007 -30.40776446950251
-86.93693693693693 -21.555228055505285 -24.02186886921186 -30.40734558812803
-86.75675675675676 -21.580621415910763 -24.022142698351768 -30.40686635475895
-86.57657657657657 -21.608264971989115 -24.02242964551673 -30.406320979088246
-86.3963963963964 -21.638287561138426 -24.022729211539566 -30.40570345936395
-86.21621621621621 -21.670823486468276 -24.023040850711176 -30.4050076063464
-86.03603603603604 -21.70601213763082 -24.023363968284674 -30.40422706956909
-85.85585585585585 -21.743997542946264 -24.023697918035943 -30.403355366027117
-85.67567567567568 -21.78492784001734 -24.02404199991966 -30.402385911413347
-85.49549549549549 -21.82895464960862 -24.024395457863985 -30.401312054016095
-85.31531531531532 -21.87623233470368 -24.024757477752082 -30.400127111383682
-85.13513513513513 -21.926917123284895 -24.025127185643424 -30.398824409850135
-84.95495495495496 -21.981166069416396 -24.02550364629311 -30.397397327002462
-84.77477477477477 -22.039135822577265 -24.02588586203276 -30.395839337153067
-84.5945945945946 -22.10098116978503 -24.026272772082038 -30.394144059860434
-84.41441441441441 -22.166853308795368 -24.026663252365104 -30.392305311517305
-84.23423423423424 -22.236897803478193 -24.027056115912035 -30.390317159997878
-84.05405405405405 -22.311252164292235 -24.02745011393009 -30.388173982322893
-83.87387387387388 -22.39004298760956 -24.02784393763486 -30.385870525265254
-83.69369369369369 -22.473382577524518 -24.02823622093553 -30.383401968776766
-83.51351351351352 -22.56136496291667 -24.028625544072458 -30.380763992069937
-83.33333333333333 -22.654061211256852 -24.029010438307843 -30.37795284213656
-83.15315315315316 -22.751513929614408 -24.029389391772416 -30.37496540442668
-82.97297297297297 -22.8537308335316 -24.029760856571198 -30.371799275348017
-82.7927927927928 -22.9606772574804 -24.030123257250473 -30.368452836175916
-82.61261261261261 -23.072267478836693 -24.030475000724735 -30.36492532788828
-82.43243243243244 -23.18835473407761 -24.030814487757265 -30.361216926358292
-82.25225225225225 -23.308719825912625 -24.031140126079677 -30.3573288172501
-82.07207207207207 -23.43305825967477 -24.031450345225064 -30.35326326987017
-81.89189189189189 -23.560965914752177 -24.031743613134804 -30.349023709129163
-81.71171171171171 -23.691923362469897 -24.03201845458095 -30.344614784667712
-81.53153153153153 -23.82527909765028 -24.032273471423984 -30.340042436094915
-81.35135135135135 -23.960232169957738 -24.032507364698596 -30.335313953181846
-81.17117117117117 -24.09581499463642 -24.032718958488644 -30.330438029746563
-80.990990990991 -24.230877496803913 -24.032907225515356 -30.325424809862398
-80.8108108108108 -24.364074194412094 -24.033071314320296 -30.32028592492191
-80.63063063063063 -24.49385632789489 -24.03321057787664 -30.315034519996402
-80.45045045045045 -24.618471644750937 -24.033324603408044 -30.30968526784905
-80.27027027027027 -24.73597484961722 -24.033413243134806 -30.304254368892618
-80.09009009009009 -24.844251893397082 -24.033476645601333 -30.298759535333875
-79.90990990990991 -24.941061017781657 -24.033515287168225 -30.293219957721554
-79.72972972972973 -25.024092601588737 -24.033530003176335 -30.287656252117685
-79.54954954954955 -25.091048225140533 -24.033522018210427 -30.282090386148504
-79.36936936936937 -25.139736958610875 -24.033492974806776 -30.27654558226702
-79.1891891891892 -25.16818388742925 -24.033444959864262 -30.271046196679517
-79.009009009009 -25.17474278273579 -24.033380527932895 -30.265617572558533
-78.82882882882883 -25.158202318502045 -24.03330272047027 -30.260285866390625
-78.64864864864865 -25.117874124444132 -24.033215080076392 -30.2550778465919
-78.46846846846847 -25.053651860193646 -24.033121658644106 -30.250020663872718
-78.28828828828829 -24.966033554761445 -24.033027018298835 -30.245141593246487
-78.10810810810811 -24.85610420945857 -24.032936223950585 -30.24046774805717
-77.92792792792793 -24.72548110154566 -24.03285482624773 -30.236025766945588
-77.74774774774775 -24.576229108319026 -24.032788833709123 -30.231841475281193
-77.56756756756756 -24.4107566436743 -24.03274467282422 -30.227939523249905
-77.38738738738739 -24.231703928591465 -24.03272913495322 -30.22434300349947
-77.2072072072072 -24.041834394887097 -24.032749308936904 -30.221073051992384
-77.02702702702703 -23.84393762621989 -24.032812498442162 -30.218148436487255
-76.84684684684684 -23.64074916153511 -24.032926123229686 -30.21558513784687
-76.66666666666667 -23.4348894535348 -24.033097603737605 -30.21339593013561
-76.48648648648648 -23.228821787720907 -24.033334228633603 -30.21158996619925
-76.30630630630631 -23.024827251063908 -24.03364300529975 -30.21017237609421
-76.12612612612612 -22.824993892536483 -24.034030493580318 -30.209143886327617
-75.94594594594595 -22.631216902207196 -24.034502623543524 -30.208500468361066
-75.76576576576576 -22.44520676021488 -24.035064498481095 -30.208233025198062
-75.58558558558559 -22.268502687541574 -24.035720184891233 -30.208327125097966
-75.4054054054054 -22.102489220529105 -24.036472491755077 -30.208762791521107
-75.22522522522523 -21.948414230040502 -24.03732274201588 -30.20951435829799
-75.04504504504504 -21.807407154923176 -24.03827053979313 -30.210550398722233
-74.86486486486487 -21.680496590028547 -24.03931353749772 -30.211833736788968
-74.68468468468468 -21.568626654009254 -24.040447207643943 -30.21332154814024
-74.50450450450451 -21.472671765500028 -24.041664624761403 -30.21496555744399
-74.32432432432432 -21.393449587233203 -24.042956263376205 -30.216712337935114
-74.14414414414415 -21.331731966139532 -24.04430981853504 -30.218503717701264
-73.96396396396396 -21.288253711892843 -24.045710055766246 -30.22027729602064
-73.78378378378379 -21.263719021972534 -24.047138697687057 -30.221967071671422
-73.6036036036036 -21.258805279625584 -24.048574354654157 -30.223504183651208
-73.42342342342343 -21.27416381930938 -24.04999250689555 -30.22481776318386
-73.24324324324324 -21.310417064812604 -24.05136554543613 -30.22583589426036
-73.06306306306307 -21.368151185815563 -24.05266287882138 -30.226486678264205
-72.88288288288288 -21.447903071543056 -24.053851112139636 -30.226699396466547
-72.70270270270271 -21.550139963095468 -24.054894304132397 -30.22640576233036
-72.52252252252252 -21.6752294941222 -24.055754307257246 -30.225541253616704
-72.34234234234233 -21.823397140803618 -24.0563911944249 -30.224046512212794
-72.16216216216216 -21.994667170326245 -24.056763774768932 -30.221868797367367
-71.98198198198199 -22.188782137661796 -24.056830199226283 -30.218963475588602
-71.8018018018018 -22.405094940998293 -24.056548654910927 -30.21529552779731
-71.62162162162161 -22.642426716477438 -24.05587814525852 -30.210841051404337
-71.44144144144144 -22.8988840748289 -24.054779350712717 -30.205588731778974
-71.26126126126127 -23.17163155032268 -24.053215562322418 -30.199541254097767
-71.08108108108108 -23.456621650312528 -24.05115367803394 -30.192716622844074
-70.9009009009009 -23.748298505426988 -24.048565248706268 -30.18514935234064
-70.72072072072072 -24.039315257626306 -24.045427557968164 -30.176891487764617
-70.54054054054055 -24.320341959354096 -24.041724716999255 -30.16801341230249
-70.36036036036036 -24.580085765433623 -24.03744875218711 -30.158604392707673
-70.18018018018017 -24.805680895259844 -24.032600660440345 -30.148772812860564
-70.0 -24.98359520666904 -24.027191403792933 -30.138646043411622
-69.81981981981983 -25.101095708056977 -24.021242811912792 -30.128369895697872
-69.63963963963964 -25.148097696891924 -24.014788358353645 -30.118107610401815
-69.45945945945945 -25.11895922413005 -24.00787377402453 -30.108038336434486
-69.27927927927928 -25.013641990233634 -24.000557459595807 -30.09835506381604
-69.0990990990991 -24.837801486263388 -23.992910657653113 -30.08926198636172
-68.91891891891892 -24.60177139752439 -23.985017345627373 -30.08097128606332
-68.73873873873873 -24.318831664685344 -23.976973812172506 -30.073699351249452
-68.55855855855856 -24.003338099433385 -23.968887883048623 -30.067662464642435
-68.37837837837839 -23.669185779062385 -23.960877768003648 -30.06307202462965
-68.1981981981982 -23.32882146350571 -23.95307050789496 -30.060129392297572
-68.01801801801801 -22.99278868078447 -23.94560001154064 -30.05902048643813
-67.83783783783784 -22.669667302575697 -23.938604684600435 -30.059910276817714
-67.65765765765767 -22.36624758182254 -23.932224668052374 -30.06293735019728
-67.47747747747748 -22.08781014331583 -23.92659872123446 -30.068208741508645
-67.29729729729729 -21.838428534876254 -23.9218608033987 -30.075795231983825
-67.11711711711712 -21.621249255277732 -23.91813642745548 -30.08572731509438
-66.93693693693695 -21.43873001252558 -23.915538879001627 -30.097992018796663
-66.75675675675676 -21.29283174035342 -23.914165411554777 -30.112530748642676
-66.57657657657657 -21.185166965813757 -23.914093543766768 -30.129238281714077
-66.3963963963964 -21.117109493997354 -23.915377594858548 -30.14796299803055
-66.21621621621622 -21.089870122469428 -23.918045599336853 -30.1685083869322
-66.03603603603604 -21.10454139919228 -23.922096740227804 -30.190635814406757
-65.85585585585585 -21.162111827101388 -23.927499431023147 -30.21406848712037
-65.67567567567568 -21.263446490567226 -23.934190160238693 -30.238496503512643
-65.4954954954955 -21.409226629363303 -23.942073189475636 -30.263582844641444
-65.31531531531532 -21.599834810267296 -23.951021167270163 -30.28897012952813
-65.13513513513513 -21.835164570172864 -23.960876688425337 -30.31428794250679
-64.95495495495496 -22.114323487383764 -23.971454793889375 -30.339160533377715
-64.77477477477478 -22.435187356079776 -23.98254637166827 -30.363214693877048
-64.5945945945946 -22.793754127211816 -23.993922386752423 -30.386087624210766
-64.41441441441441 -23.183249859807088 -24.005338839322953 -30.407434618791903
-64.23423423423424 -23.592978672365497 -24.016542326854832 -30.42693641832164
-64.05405405405406 -24.007028452348745 -24.02727606785886 -30.444306093533484
-63.873873873873876 -24.403201932698828 -24.037286233015863 -30.45929534218951
-63.693693693693696 -24.752953744607204 -24.046328422921093 -30.47170009372016
-63.513513513513516 -25.023493098739422 -24.05417412970106 -30.481365324318965
-63.333333333333336 -25.182992628958143 -24.060617021240844 -30.488188989138273
-63.153153153153156 -25.208329951999445 -24.06547889042409 -30.49212497800991
-62.972972972972975 -25.092333800334536 -24.068615116500528 -30.493184998091586
-62.792792792792795 -24.846426816888272 -24.06991949059188 -30.491439282955724
-62.612612612612615 -24.496944514432503 -24.06932826199176 -30.48701602544654
-62.432432432432435 -24.077504607443455 -24.06682326641182 -30.480099434174598
-62.252252252252255 -23.62157246387625 -24.062434002379213 -30.470926324134812
-62.072072072072075 -23.15783193319305 -24.056238528912182 -30.459781173967052
-61.891891891891895 -22.7085645489097 -24.048363068247227 -30.44698961878346
-61.711711711711715 -22.289979310301113 -24.038980214023844 -30.432910400319173
-61.531531531531535 -21.913378159750692 -24.02830567038383 -30.417925865999337
-61.351351351351354 -21.58645592313998 -24.016593483187517 -30.402431193854923
-61.171171171171174 -21.314422072430716 -24.004129772690348 -30.386822617005784
-60.990990990990994 -21.10086092650654 -23.99122503820116 -30.37148502280946
-60.81081081081081 -20.94834751025029 -23.97820517854656 -30.35677939828508
-60.630630630630634 -20.858865521425948 -23.965401454708406 -30.343030673688265
-60.45045045045045 -20.83407129432882 -23.953139707687466 -30.33051656812419
-60.270270270270274 -20.87543321730262 -23.941729228237186 -30.319458053921757
-60.09009009009009 -20.984257278779065 -23.9314517466932 -30.31001202226748
-59.90990990990991 -21.161587239830183 -23.922551061016065 -30.302266648228688
-59.729729729729726 -21.40793989256634 -23.915223840217614 -30.29623982166192
-59.54954954954955 -21.722797741448407 -23.909612121452383 -30.291880840647615
-59.369369369369366 -22.103729533929783 -23.905797958636946 -30.289075370281665
-59.18918918918919 -22.54494705977074 -23.903800579528102 -30.287653469411357
-59.009009009009006 -23.035065955159318 -23.903576272784193 -30.28740029937665
-58.82882882882883 -23.553927349822086 -23.90502106727036 -30.288068968071418
-58.648648648648646 -24.06882407492826 -23.90797609665142 -30.289394841430635
-58.46846846846847 -24.53179220138905 -23.91223537840979 -30.291110578980096
-58.288288288288285 -24.88182702815717 -23.91755559227496 -30.29296112091064
-58.10810810810811 -25.056916282966913 -23.923667330308756 -30.294717867160934
-57.92792792792793 -25.01570246857376 -23.930287217044825 -30.29619133720523
-57.74774774774775 -24.756852217465468 -23.937130265917656 -30.297241674766248
-57.56756756756757 -24.32006145664719 -23.94392184615384 -30.297786457614443
-57.38738738738739 -23.76777455557809 -23.950408677404074 -30.297805384368807
-57.20720720720721 -23.163090171897803 -23.956368340792153 -30.29734153596646
-57.02702702702703 -22.556750059860885 -23.96161688736255 -30.296499049828235
-56.84684684684685 -21.98426368402255 -23.96601423139542 -30.295437201566855
-56.66666666666667 -21.4684009889117 -23.96946713135425 -30.29436106366376
-56.48648648648649 -21.023000324258433 -23.971929681465525 -30.293509101549127
-56.30630630630631 -20.656264270739676 -23.973401359380162 -30.293138269039957
-56.12612612612613 -20.373123578566172 -23.973922797749232 -30.29350736532262
-55.94594594594595 -20.17679023575035 -23.9735695671422 -30.29485959677395
-55.76576576576577 -20.069728964970693 -23.97244437058985 -30.297405426441337
-55.58558558558559 -20.054236553044337 -23.97066815044611 -30.30130686792427
-55.4054054054054 -20.132746874708843 -23.968370688759375 -30.306664367519524
-55.22522522522522 -20.30790713043935 -23.965681334226293 -30.313507305323334
-55.04504504504504 -20.582393203360184 -23.962720503265725 -30.321788930958967
-54.86486486486486 -20.958327598527354 -23.959592572424313 -30.33138624531997
-54.68468468468468 -21.4359958446136 -23.956380699937142 -30.342104972361117
-54.5045045045045 -22.01127816225377 -23.953143986089323 -30.353689370633397
-54.32432432432432 -22.670805286452467 -23.949917210718 -30.365836253032256
-54.14414414414414 -23.38354154149887 -23.94671318279699 -30.378212252385282
-53.96396396396396 -24.08848772115884 -23.94352751703981 -30.390473118634105
-53.78378378378378 -24.68381599300208 -23.940345434079667 -30.402283676875467
-53.6036036036036 -25.03584287182089 -23.93714998295917 -30.41333701827018
-53.42342342342342 -25.03103906092097 -23.93393092498746 -30.423371531601802
-53.24324324324324 -24.649601031915015 -23.93069341124604 -30.432184500181997
-53.06306306306306 -23.981200777866086 -23.92746554320096 -30.439641174064214
-52.88288288288288 -23.162332057262777 -23.92430393416912 -30.445678471189016
-52.7027027027027 -22.310409100392363 -23.92129649222024 -30.450302757651556
-52.52252252252252 -21.501639102783653 -23.91856182225681 -30.453581504712265
-52.34234234234234 -20.777919570863904 -23.916244892253644 -30.455629016387334
-52.16216216216216 -20.1598273026702 -23.914508916625493 -30.45658685920663
-51.98198198198198 -19.656571813045133 -23.913523762456972 -30.45660008723337
-51.8018018018018 -19.272039290461237 -23.913451557777034 -30.455790808662012
-51.62162162162162 -19.008149044190436 -23.91443054243974 -30.454231038758167
-51.44144144144144 -18.86666804486513 -23.91655851148169 -30.451917071376123
-51.26126126126126 -18.850202241290496 -23.919877414825027 -30.44874772169817
-51.08108108108108 -18.962748133637398 -23.924360755965882 -30.444508703484615
-50.9009009009009 -19.209960806333306 -23.929905347312648 -30.43886508896979
-50.72072072072072 -19.599098759654684 -23.936328721587312 -30.43136327806383
-50.54054054054054 -20.138324702966987 -23.943373081343235 -30.421443231209167
-50.36036036036036 -20.834461026035385 -23.95071612985982 -30.40846097910936
-50.18018018018018 -21.68697473141215 -23.957988521878086 -30.391720703355777
-50.0 -22.673161364768436 -23.964797064849463 -30.370515062886764
-49.81981981981982 -23.71559569381263 -23.97075224935678 -30.34417196904343
-49.63963963963964 -24.629075140127803 -23.975498235759353 -30.312105691442884
-49.45945945945946 -25.103718855798395 -23.978743098415237 -30.273869970568366
-49.27927927927928 -24.8758413578501 -23.98028693684242 -30.22921065193835
-49.0990990990991 -24.00294551436215 -23.980045402222654 -30.178115159349524
-48.91891891891892 -22.79690927614196 -23.97806625517481 -30.12085582096786
-48.73873873873874 -21.537647252867483 -23.97453677459824 -30.058023620958615
-48.55855855855856 -20.37346095448231 -23.969780201924667 -29.990548407661407
-48.37837837837838 -19.362284698105686 -23.96423996921237 -29.919701078485687
-48.1981981981982 -18.5201209011445 -23.95845126463612 -29.84707302532954
-48.01801801801802 -17.847236928687455 -23.95300055702797 -29.774528511275
-47.83783783783784 -17.339700342111044 -23.948475006293556 -29.70412706078487
-47.65765765765766 -16.99414352971108 -23.94540512877686 -29.638015715810084
-47.47747747747748 -16.809770806847485 -23.944205480321873 -29.578295220036242
-47.2972972972973 -16.789368524362757 -23.9451192095285 -29.526869462059263
-47.11711711711712 -16.940078878902046 -23.94817284468088 -29.485292865725754
-46.93693693693694 -17.274274243786536 -23.95314739335069 -29.454634394733105
-46.75675675675676 -17.810627044180336 -23.959570676720023 -29.43537787102609
-46.57657657657658 -18.575068427643004 -23.9667339050216 -29.427375356213524
-46.3963963963964 -19.599969929922114 -23.97373312192513 -29.42986350031763
-46.21621621621622 -20.914714005172044 -23.979533705633486 -29.44154342688593
-46.03603603603604 -22.50156894280053 -23.983053999222005 -29.460715201472052
-45.85585585585586 -24.13559456906234 -23.983262603561357 -29.485450545245612
-45.67567567567568 -25.063914860950657 -23.979282945797493 -29.513783657272064
-45.4954954954955 -24.393301368828872 -23.970498268362 -29.54389992949757
-45.31531531531532 -22.5397654510215 -23.956649861467948 -29.574304966143117
-45.13513513513514 -20.47663333579439 -23.9379208571397 -29.603960111408778
-44.95495495495496 -18.630843547636623 -23.914997003348244 -29.632374263756383
-44.77477477477478 -17.083315820917196 -23.889094590065465 -29.659644372326337
-44.5945945945946 -15.818214800028914 -23.861944535349163 -29.686438746654925
-44.414414414414416 -14.804691727878867 -23.83572143924797 -29.713918953084693
-44.234234234234236 -14.01671054690977 -23.81290843660893 -29.74359881541087
-44.054054054054056 -13.436625147999928 -23.79609424609108 -29.77714401259942
-43.873873873873876 -13.055193343960855 -23.787708650687765 -29.816123432379257
-43.693693693693696 -12.871346553063638 -23.789716017627676 -29.86173298999713
-43.513513513513516 -12.89268024847104 -23.803300493656177 -29.91452170817587
-43.333333333333336 -13.137196612869356 -23.828586390627517 -29.974155024578653
-43.153153153153156 -13.63707093263293 -23.8644378937377 -30.039248303005127
-42.972972972972975 -14.445995597448453 -23.908370821418693 -30.107293098687883
-42.792792792792795 -15.653291686469611 -23.956587549739066 -30.17468174975615
-42.612612612612615 -17.41016562369773 -24.00412074584942 -30.236817024031097
-42.432432432432435 -19.96054586889338 -24.045050404334944 -30.288278368312728
-42.252252252252255 -23.395981024016525 -24.072747907838895 -30.323008665059255
-42.072072072072075 -24.787606853254836 -24.08010181106807 -30.334486018903778
-41.891891891891895 -20.916958866364993 -24.059689635405654 -30.31585173647973
-41.711711711711715 -16.860336210612125 -24.003872794209578 -30.259974599980772
-41.531531531531535 -13.73139201422407 -23.904802831914065 -30.15943918007441
-41.351351351351354 -11.277686965772789 -23.754333222494317 -30.006449764910563
-41.171171171171174 -9.287843661665667 -23.543830569199464 -29.792640032383403
-40.990990990990994 -7.633554413172286 -23.263871489463813 -29.508770735702107
-40.810810810810814 -6.235592664221327 -22.90379542578371 -29.14428145076218
-40.630630630630634 -5.042653570067893 -22.451055339053198 -28.686633329890896
-40.450450450450454 -4.020013168480315 -21.89025867830481 -28.120327612652822
-40.270270270270274 -3.1433150078258922 -21.20169983971425 -27.42538652144738
-40.090090090090094 -2.3950065197580184 -20.359006147948065 -26.57488616632252
-39.90990990990991 -1.7622005622297876 -19.325140339878846 -25.530703649229295
-39.72972972972973 -1.2353410364776432 -18.045130818066426 -24.23562306214414
-39.54954954954955 -0.8073438760494307 -16.431688372892875 -22.597223707571473
-39.36936936936937 -0.4730319324273089 -14.333544107693166 -20.450475433031713
-39.18918918918919 -0.22875984694701937 -11.455715565407068 -17.452847779866378
-39.00900900900901 -0.07216781602784078 -7.133343756781373 -12.68178710234903
-38.82882882882883 -0.0020280013384059094 -0.4850694872577452 -1.7551864652369942
-38.64864864864865 -0.01816265533153276 -3.1193848998923457 -7.331783669369387
-38.46846846846847 -0.12142333402962903 -9.003906267325277 -14.80303682511112
-38.28828828828829 -0.31372848255027114 -12.686656539970521 -18.74394307944526
-38.10810810810811 -0.5981640039543178 -15.239145540278935 -21.380420238002724
-37.92792792792793 -0.979159763206007 -17.145177207296122 -23.324439981661417
-37.74774774774775 -1.4627662894060567 -18.630798755693846 -24.830970151732373
-37.56756756756757 -2.0570732419224615 -19.8174189109965 -26.030690194357007
-37.38738738738739 -2.7728398602679123 -20.777465105176503 -26.999641034898104
-37.20720720720721 -3.624457929533638 -21.557699686010178 -27.78613084177479
-37.02702702702703 -4.631460764230071 -22.190289438134258 -28.422965391024423
-36.84684684684685 -5.820972424801094 -22.698609650343286 -28.93368911542193
-36.66666666666667 -7.231861438460565 -23.100544071467755 -29.336066701692495
-36.48648648648649 -8.922160167981172 -23.410494652759777 -29.644173753287344
-36.30630630630631 -10.983078319935435 -23.640679930586654 -29.869735315618584
-36.12612612612613 -13.566521177744988 -23.802013667483727 -30.023032008329334
-35.94594594594595 -16.933184939194632 -23.90471301997738 -30.11354009028952
-35.76576576576577 -21.389282697823944 -23.95870818056137 -30.1503906433374
-35.58558558558559 -24.95973643913361 -23.9738801333694 -30.14268560237172
-35.40540540540541 -22.268982482683025 -23.960127063564904 -30.099678327959438
-35.22522522522523 -18.78487857697104 -23.927250177491892 -30.03080820117948
-35.04504504504505 -16.403535055644866 -23.884657889454353 -29.945572638728652
-34.86486486486487 -14.822700622395864 -23.840914787799626 -29.853229234988362
-34.68468468468469 -13.792512540041717 -23.80320378948129 -29.762347862475487
-34.50450450450451 -13.17237900256729 -23.776811759486858 -29.680274082791755
-34.32432432432433 -12.88365229659978 -23.764768379902375 -29.61260789529618
-34.14414414414415 -12.883154039916862 -23.76774663488024 -29.562824320018336
-33.96396396396397 -13.150378681074535 -23.784270490180464 -29.532145425696488
-33.78378378378379 -13.681691472146563 -23.811194021158755 -29.519714614283423
-33.60360360360361 -14.488427791389123 -23.844350594470836 -29.523043744489982
-33.42342342342343 -15.597428525016818 -23.879245188242134 -29.53863547398822
-33.24324324324325 -17.052331592191436 -23.911679091931695 -29.562652935457937
-33.06306306306307 -18.908797715360397 -23.938236646485656 -29.591520632158904
-32.88288288288289 -21.188882886254568 -23.956606339525464 -29.62237879374584
-32.70270270270271 -23.637939136145363 -23.965738891646836 -29.65335699255931
-32.52252252252253 -25.06082388274157 -23.96585931932918 -29.68366674245658
-32.34234234234235 -24.183208744488 -23.95835253304699 -29.71353290160239
