t msr
0.000 -18.155
3.000 -2.338
6.000 -3.160
9.000 -2.051
12.000 -3.026
15.000 -0.227
18.000 -2.922
21.000 -0.767
24.000 -1.516
27.000 -2.445
30.000 -0.896
33.000 -0.276
36.000 -1.822
39.000 -2.548
42.000 -2.631
45.000 -0.695
48.000 -6.017
51.000 -2.616
54.000 -1.864
57.000 -2.025
60.000 -2.247
63.000 -1.716
66.000 -1.806
69.000 -1.461
72.000 -2.432
75.000 -1.640
78.000 -1.081
81.000 -1.568
84.000 -1.644
87.000 -0.824
90.000 -0.485
93.000 -0.771
96.000 -0.643
99.000 -4.905
102.000 -0.361
105.000 -0.822
108.000 -0.276
111.000 -2.265
114.000 -1.412
117.000 -1.016
120.000 -2.987
123.000 -0.505
126.000 -0.402
129.000 -1.435
132.000 -0.141
135.000 -2.230
138.000 -0.167
141.000 -1.110
144.000 -0.356
147.000 -2.341
150.000 -5.994
153.000 -1.780
156.000 -1.388
159.000 -0.661
162.000 -2.143
165.000 -1.550
168.000 -0.248
171.000 -0.857
174.000 -2.461
177.000 -0.926
180.000 -0.106
183.000 -0.752
186.000 -1.690
189.000 -1.704
192.000 -1.224
195.000 -0.833
198.000 -5.011
201.000 -2.823
204.000 -1.622
207.000 -1.158
210.000 -1.030
213.000 -1.094
216.000 -2.310
219.000 -0.561
222.000 -0.072
225.000 -2.046
228.000 -0.483
231.000 -0.040
234.000 -0.580
237.000 -1.687
240.000 -0.532
243.000 -1.263
246.000 -0.494
249.000 -2.928
252.000 -2.419
255.000 -4.548
258.000 -3.861
261.000 -2.966
264.000 -2.405
267.000 -2.698
