t msr
0.000 -3.475
3.000 -0.743
6.000 -0.310
9.000 -0.891
12.000 -1.294
15.000 -2.131
18.000 -0.941
21.000 -0.261
24.000 -0.909
27.000 -0.236
30.000 -1.043
33.000 -0.701
36.000 -0.743
39.000 -2.096
42.000 -0.907
45.000 -2.380
48.000 -5.534
51.000 -5.824
54.000 -1.365
57.000 -2.150
60.000 -3.062
63.000 -2.115
66.000 -0.138
69.000 -2.744
72.000 -0.637
75.000 -0.251
78.000 -0.937
81.000 -0.367
84.000 -0.720
87.000 -0.552
90.000 -0.635
93.000 -0.212
96.000 -1.019
99.000 -4.935
102.000 -1.316
105.000 -0.237
108.000 -0.537
111.000 -0.153
114.000 -0.515
117.000 -0.173
120.000 -1.517
123.000 -2.074
126.000 -2.096
129.000 -0.786
132.000 -0.804
135.000 -0.933
138.000 -0.029
141.000 -0.250
144.000 -1.116
147.000 -2.269
150.000 -4.599
153.000 -1.074
156.000 -2.500
159.000 -1.787
162.000 -0.796
165.000 -1.810
168.000 -0.271
171.000 -0.320
174.000 -0.901
177.000 -0.048
180.000 -1.156
183.000 -1.749
186.000 -1.191
189.000 -0.619
192.000 -1.237
195.000 -2.044
198.000 -5.627
201.000 -3.667
204.000 -0.558
207.000 -0.640
210.000 -2.368
213.000 -0.218
216.000 -0.273
219.000 -0.678
222.000 -1.177
225.000 -1.947
228.000 -0.758
231.000 -0.036
234.000 -0.198
237.000 -1.278
240.000 -0.549
243.000 -1.502
246.000 -1.009
249.000 -1.500
252.000 -2.624
255.000 -4.142
258.000 -3.809
261.000 -2.726
264.000 -2.692
267.000 -3.115
