t msr
0.000 -4.459
3.000 -1.120
6.000 -0.734
9.000 -1.204
12.000 -1.927
15.000 -5.051
18.000 -0.941
21.000 -0.447
24.000 -1.412
27.000 -0.454
30.000 -2.121
33.000 -1.864
36.000 -1.167
39.000 -2.192
42.000 -1.280
45.000 -3.999
48.000 -6.129
51.000 -7.700
54.000 -1.664
57.000 -2.704
60.000 -4.623
63.000 -2.606
66.000 -0.240
69.000 -3.601
72.000 -1.059
75.000 -0.373
78.000 -1.153
81.000 -0.736
84.000 -1.359
87.000 -1.032
90.000 -0.773
93.000 -0.307
96.000 -1.687
99.000 -5.770
102.000 -1.616
105.000 -0.355
108.000 -0.746
111.000 -0.235
114.000 -0.903
117.000 -0.217
120.000 -1.993
123.000 -2.756
126.000 -3.733
129.000 -1.497
132.000 -1.604
135.000 -1.959
138.000 -0.052
141.000 -0.435
144.000 -2.322
147.000 -2.840
150.000 -5.759
153.000 -1.578
156.000 -5.622
159.000 -3.756
162.000 -2.065
165.000 -3.255
168.000 -0.612
171.000 -0.434
174.000 -2.641
177.000 -0.091
180.000 -2.601
183.000 -3.090
186.000 -3.140
189.000 -1.008
192.000 -3.764
195.000 -4.186
198.000 -9.984
201.000 -5.777
204.000 -1.155
207.000 -1.577
210.000 -3.787
213.000 -0.392
216.000 -0.298
219.000 -0.871
222.000 -1.448
225.000 -2.945
228.000 -1.011
231.000 -0.123
234.000 -0.409
237.000 -2.804
240.000 -0.976
243.000 -2.606
246.000 -1.555
249.000 -2.114
252.000 -4.646
255.000 -6.309
258.000 -4.514
261.000 -3.590
264.000 -3.331
267.000 -3.632
