t msr
0.000 -3.572
3.000 -0.421
6.000 -0.170
9.000 -0.773
12.000 -1.281
15.000 -2.440
18.000 -1.743
21.000 -1.046
24.000 -2.041
27.000 -1.312
30.000 -0.491
33.000 -1.192
36.000 -0.780
39.000 -2.073
42.000 -0.236
45.000 -3.935
48.000 -6.797
51.000 -7.093
54.000 -1.874
57.000 -2.674
60.000 -3.787
63.000 -3.276
66.000 -0.567
69.000 -3.463
72.000 -1.142
75.000 -0.383
78.000 -0.187
81.000 -0.240
84.000 -1.687
87.000 -1.121
90.000 -0.899
93.000 -0.580
96.000 -1.416
99.000 -4.720
102.000 -1.084
105.000 -0.267
108.000 -0.493
111.000 -0.483
114.000 -0.405
117.000 -0.848
120.000 -2.178
123.000 -2.614
126.000 -2.738
129.000 -1.170
132.000 -1.492
135.000 -1.524
138.000 -0.311
141.000 -0.794
144.000 -0.147
147.000 -2.070
150.000 -4.444
153.000 -0.699
156.000 -2.889
159.000 -2.253
162.000 -0.331
165.000 -3.011
168.000 -0.551
171.000 -0.450
174.000 -0.965
177.000 -0.164
180.000 -1.825
183.000 -3.209
186.000 -1.077
189.000 -0.113
192.000 -0.763
195.000 -1.736
198.000 -5.613
201.000 -3.349
204.000 -0.316
207.000 -1.441
210.000 -3.668
213.000 -0.006
216.000 -1.451
219.000 -1.875
222.000 -0.565
225.000 -2.683
228.000 -0.940
231.000 -0.175
234.000 -0.271
237.000 -2.173
240.000 -1.728
243.000 -2.892
246.000 -1.841
249.000 -0.794
252.000 -2.699
255.000 -4.626
258.000 -4.240
261.000 -3.023
264.000 -3.107
267.000 -3.511
