t msr
0.000 -10.247
3.000 -2.665
6.000 -4.299
9.000 -1.095
12.000 -1.204
15.000 -2.243
18.000 -1.094
21.000 -0.929
24.000 -1.853
27.000 -1.443
30.000 -0.176
33.000 -0.900
36.000 -5.565
39.000 -0.862
42.000 -2.803
45.000 -0.772
48.000 -6.448
51.000 -1.444
54.000 -0.097
57.000 -0.636
60.000 -1.215
63.000 -1.727
66.000 -0.191
69.000 -0.775
72.000 -0.074
75.000 -0.540
78.000 -0.011
81.000 -0.535
84.000 -1.042
87.000 -0.363
90.000 -2.109
93.000 -0.217
96.000 -0.654
99.000 -6.402
102.000 -3.653
105.000 -1.493
108.000 -1.371
111.000 -0.281
114.000 -1.138
117.000 -0.242
120.000 -0.306
123.000 -2.184
126.000 -1.203
129.000 -1.623
132.000 -0.686
135.000 -0.140
138.000 -0.563
141.000 -0.387
144.000 -0.105
147.000 -1.076
150.000 -8.711
153.000 -0.106
156.000 -0.177
159.000 -0.218
162.000 -0.597
165.000 -0.690
168.000 -0.628
171.000 -0.225
174.000 -0.678
177.000 -0.172
180.000 -1.777
183.000 -0.402
186.000 -1.676
189.000 -0.306
192.000 -0.287
195.000 -0.651
198.000 -6.629
201.000 -4.187
204.000 -0.178
207.000 -0.255
210.000 -1.550
213.000 -0.435
216.000 -3.019
219.000 -2.569
222.000 -2.447
225.000 -2.409
228.000 -0.624
231.000 -0.120
234.000 -0.230
237.000 -0.710
240.000 -1.549
243.000 -1.260
246.000 -2.155
249.000 -4.455
252.000 -5.351
255.000 -7.470
258.000 -7.750
261.000 -5.497
264.000 -6.264
267.000 -6.930
