t msr
0.000 -6.996
3.000 -1.753
6.000 -1.016
9.000 -2.150
12.000 -2.443
15.000 -1.081
18.000 -3.493
21.000 -1.319
24.000 -4.688
27.000 -1.187
30.000 -1.599
33.000 -3.388
36.000 -1.475
39.000 -3.549
42.000 -0.414
45.000 -2.406
48.000 -8.364
51.000 -5.196
54.000 -1.057
57.000 -2.459
60.000 -0.795
63.000 -3.328
66.000 -0.798
69.000 -0.337
72.000 -0.184
75.000 -2.629
78.000 -1.067
81.000 -1.856
84.000 -3.130
87.000 -2.478
90.000 -3.377
93.000 -0.637
96.000 -4.542
99.000 -6.728
102.000 -3.271
105.000 -0.325
108.000 -0.202
111.000 -3.181
114.000 -0.653
117.000 -5.073
120.000 -3.483
123.000 -1.554
126.000 -6.957
129.000 -0.355
132.000 -1.354
135.000 -0.069
138.000 -2.782
141.000 -1.805
144.000 -2.150
147.000 -0.888
150.000 -4.629
153.000 -0.133
156.000 -0.362
159.000 -1.042
162.000 -1.735
165.000 -3.782
168.000 -0.774
171.000 -1.693
174.000 -0.623
177.000 -2.128
180.000 -1.069
183.000 -0.178
186.000 -1.588
189.000 -3.986
192.000 -1.192
195.000 -0.249
198.000 -3.534
201.000 -0.620
204.000 -2.470
207.000 -1.541
210.000 -6.547
213.000 -5.313
216.000 -2.043
219.000 -3.088
222.000 -2.722
225.000 -2.294
228.000 -0.847
231.000 -6.195
234.000 -1.332
237.000 -5.387
240.000 -0.908
243.000 -0.966
246.000 -0.525
249.000 -3.806
252.000 -2.061
255.000 -8.834
258.000 -9.646
261.000 -4.357
264.000 -4.672
267.000 -5.216
