t msr
0.000 -9.867
3.000 -2.247
6.000 -1.688
9.000 -0.877
12.000 -0.777
15.000 -1.713
18.000 -0.716
21.000 -0.610
24.000 -0.535
27.000 -0.537
30.000 -0.080
33.000 -0.355
36.000 -1.434
39.000 -0.593
42.000 -1.434
45.000 -0.248
48.000 -4.358
51.000 -0.650
54.000 -0.028
57.000 -0.537
60.000 -0.971
63.000 -1.174
66.000 -0.142
69.000 -0.701
72.000 -0.074
75.000 -0.450
78.000 -0.011
81.000 -0.487
84.000 -0.871
87.000 -0.313
90.000 -1.923
93.000 -0.122
96.000 -0.383
99.000 -6.091
102.000 -2.628
105.000 -0.776
108.000 -0.614
111.000 -0.202
114.000 -1.072
117.000 -0.148
120.000 -0.182
123.000 -1.214
126.000 -0.515
129.000 -0.436
132.000 -0.341
135.000 -0.073
138.000 -0.233
141.000 -0.167
144.000 -0.043
147.000 -0.411
150.000 -6.762
153.000 -0.073
156.000 -0.116
159.000 -0.154
162.000 -0.449
165.000 -0.465
168.000 -0.390
171.000 -0.155
174.000 -0.500
177.000 -0.130
180.000 -0.663
183.000 -0.164
186.000 -0.790
189.000 -0.216
192.000 -0.201
195.000 -0.487
198.000 -4.877
201.000 -3.109
204.000 -0.097
207.000 -0.152
210.000 -0.404
213.000 -0.241
216.000 -1.684
219.000 -0.941
222.000 -0.971
225.000 -0.841
228.000 -0.267
231.000 -0.067
234.000 -0.195
237.000 -0.451
240.000 -1.119
243.000 -1.024
246.000 -1.814
249.000 -3.792
252.000 -4.002
255.000 -6.099
258.000 -6.208
261.000 -4.197
264.000 -4.551
267.000 -5.268
